name,hex,r,g,b,h,s,v
mexican pink,e4007c,228,0,124,327,100,89
microsoft blue,00a2ed,0,162,237,199,100,93
microsoft edge blue,0078d7,0,120,215,207,100,84
microsoft green,7db700,125,183,0,79,100,72
microsoft red,f04e1f,240,78,31,13,87,94
microsoft yellow,fdb900,253,185,0,44,100,99
middle blue,7ed4e6,126,212,230,190,212,230
middle blue green,8dd9cc,141,217,204,170,35,85
middle blue purple,8b72be,139,114,190,260,40,75
middle gray,8b8680,139,134,128,33,8,55
middle green,4d8c57,77,140,87,130,45,55
middle green yellow,acbf60,172,191,96,72,50,75
middle purple,d982b5,217,130,181,325,40,85
middle red,e58e73,229,144,115,15,50,90
middle red purple,a55353,165,83,83,0,83,83
middle yellow,ffeb00,255,235,0,55,100,100
middle yellow red,ecb176,236,177,118,30,128,236
midnight,702670,112,38,112,300,66,44
midnight blue,191970,25,25,112,240,78,44
mikado yellow,ffc40c,255,196,12,45,95,100
milk,fdfff5,253,255,245,72,4,100
mimi pink,ffdae9,255,218,233,336,15,100
ming,36747d,54,116,125,188,56,49
misty moss,bbb477,187,180,119,54,36,73
moccasin,faebd7,250,235,215,34,14,98
mocha,bea493,190,164,147,24,23,75
mode beige,967117,150,113,23,43,85,59
mordant red 19,ae0c00,174,12,0,4,100,68
morning blue,8da399,141,163,153,153,14,64
moss green,8a9a5b,138,154,91,75,41,60
mountain meadow,30ba8f,48,186,143,161,74,73
mountbatten pink,997a8d,153,122,141,323,20,60
msu green,18453b,24,69,59,167,65,27
mud,70543e,111,83,61,26,45,44
mughal green,306030,48,96,48,120,50,38
mulberry,c54b8c,197,75,140,328,62,77
mummy's tomb,828e84,130,142,132,130,9,56
myrtle green,317873,49,120,115,176,59,47
mystic,d65282,214,82,130,338,62,84
mystic maroon,ad4379,173,67,121,329,62,68
mystic red,ff5500,255,34,0,20,100,50
nadeshiko pink,f6adc6,246,173,198,339,30,96
napier green,2a8000,42,128,0,100,100,50
naples yellow,fada5e,250,218,94,48,62,98
navajo white,ffdead,255,222,173,36,32,100
navy blue,000080,0,0,128,240,100,50
neon blue,1b03a3,27,3,163,250,98,64
neon brown,c3732a,195,115,42,180,100,100
neon carrot,ffa343,255,163,67,31,74,100
neon cyan,00fefc,0,254,252,29,78,76
neon gray,808080,128,128,128,0,0,50
neon dark green,008443,0,132,67,150,100,52
neon green,139b42,19,155,66,142,88,61
neon pink,fe347e,254,52,126,338,80,100
neon red,ff1818,255,24,24,0,91,100
neon yellow,fff700,255,247,0,58,100,100
new car,214fc6,33,79,198,223,83,78
new york pink,d7837f,215,131,127,3,41,84
nickel,727472,114,116,114,120,2,46
nintendo red,e4000f,228,0,15,356,100,89
non-photo blue,a4dded,164,221,237,193,31,93
ocean blue,4f42b5,79,66,181,247,64,71
ocean green,48bf91,72,191,145,157,62,75
ochre,cc7722,204,119,34,30,83,80
office green,008000,0,128,0,120,100,50
ogre odor,fd5240,253,82,64,6,75,99
old gold,cfb53b,207,181,59,49,71,81
old mauve,673147,103,49,71,336,52,40
old moss green,867e36,134,126,54,54,60,53
olive drab #7,3c341f,60,52,31,43,48,24
opal,a8c3bc,168,195,188,164,14,76
opera mauve,b784a7,183,132,167,319,28,72
orange,ff6600,255,102,0,24,100,100
orange iced tea,ff6700,255,103,0,24,100,100
